ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
1,Counter-Strike: Global Offensive,88,,"Valve,Hidden Path Entertainment",Valve,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on TV","Action,Free to Play","FPS,Multiplayer,Shooter,Action,Team-Based,Competitive,Tactical,First-Person,e-sports,PvP,Online Co-Op,Military,Co-op,Strategy,War,Trading,Difficult,Realistic,Fast-Paced,Moddable",83,74,81,82
2,Condemned: Criminal Origins,85,1495,Monolith,SEGA,Single-player,Action,"Horror,Action,Atmospheric,First-Person,Survival Horror,Crime,FPS,Psychological Horror,Difficult,Singleplayer,Gore,Classic,Dark,Survival,Detective,Mystery,Story Rich",78,77,74,82
3,Natural Selection 2,85,999,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor","Action,Indie,Strategy","Multiplayer,Strategy,FPS,Team-Based,Action,Sci-fi,RTS,Indie,Aliens,Competitive,Shooter,Co-op,Moddable,Tactical,First-Person,Space,Atmospheric,Futuristic,Online Co-Op,Adventure",80,84,85,78
4,GTR 2 FIA GT Racing Game,91,799,SimBin Studios AB,SimBin,"Single-player,Multi-player","Racing,Simulation,Sports","Racing,Simulation,Sports,Multiplayer,Singleplayer,Driving",85,79,90,80
5,Star Trek Online,77,,Cryptic Studios,Perfect World Entertainment,"Multi-player,MMO,Co-op,Steam Achievements,Full controller support,In-App Purchases","Free to Play,Massively Multiplayer,RPG","Free to Play,Sci-fi,Massively Multiplayer,Space,RPG,MMORPG,Action,Open World,Multiplayer,Character Customization,Third Person,Adventure,PvP,Co-op,Singleplayer,PvE,Strategy,Online Co-Op,Tactical,Action RPG",66,62,68,72
6,Postal III,37,1199,Trashmasters,Akella,"Single-player,Steam Achievements",Action,"Action,Dark Humor,Gore,Third-Person Shooter,Open World,Violent,Funny,Third Person,Comedy,Shooter,Singleplayer,Mature,Sandbox,Nudity,Adventure,Great Soundtrack,FPS,Indie,Multiplayer,Story Rich",24,29,10,40
7,Dragon Nest,74,,Eyedentity Games Inc.,Eyedentity Games Inc.,"Single-player,Multi-player,MMO,Co-op","Action,Free to Play,Massively Multiplayer,RPG","Free to Play,Action,Anime,RPG,Massively Multiplayer,MMORPG,Fantasy,Hack and Slash,Adventure,Dragons,Multiplayer,Dungeon Crawler",,72,,66
8,Tribes: Ascend,79,,Hi-Rez Studios,Hi-Rez Studios,"Multi-player,Co-op","Action,Free to Play","Free to Play,FPS,Action,Multiplayer,Shooter,Fast-Paced,Sci-fi,Futuristic,First-Person,Co-op,Massively Multiplayer,Open World,Competitive,Team-Based,Online Co-Op,Difficult,Adventure,Singleplayer,Robots,RPG",86,78,89,80
9,Unstoppable Gorg,80,999,Futuremark,Futuremark,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","Action,Casual,Indie,Strategy","Tower Defense,Strategy,Indie,Casual,Action,Sci-fi,Aliens,Space,Touch-Friendly",73,67,73,60
10,Space Ark,43,499,Strawdog Studios Ltd,Bounce Entertainment ,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,Casual","Action,Casual,Indie",,,,
11,The Witcher 2: Assassins of Kings Enhanced Edition,90,1999,CD PROJEKT RED,"CD PROJEKT RED,1C-SoftClub","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards",RPG,"RPG,Fantasy,Mature,Choices Matter,Story Rich,Third Person,Singleplayer,Dark Fantasy,Adventure,Nudity,Multiple Endings,Action,Atmospheric,Open World,Based On A Novel,Difficult,Dark,Medieval,Magic,Nonlinear",88,85,86,86
12,King Arthur II: The Role-Playing Wargame,53,999,NeocoreGames,Paradox Interactive,"Single-player,Steam Achievements","RPG,Strategy","Strategy,RPG,RTS,Fantasy,Singleplayer",66,65,64,50
13,Insane 2,83,1499,Targem Games,Game Factory Interactive,"Single-player,Multi-player,Steam Achievements",Racing,"Racing,Offroad,Action,Arcade,Multiplayer",,66,,60
14,Risen 2: Dark Waters,78,999,Piranha Bytes,Deep Silver,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Stats",RPG,"RPG,Pirates,Open World,Adventure,Third Person,Fantasy,Singleplayer,Atmospheric,Action,Exploration,Gothic,Story Rich,Dark Fantasy,Action RPG,Sandbox,Great Soundtrack",69,57,64,74
15,Krater,57,1499,Fatshark,Fatshark,"Single-player,Co-op,Steam Achievements,Steam Trading Cards,Steam Cloud","Action,Adventure,Indie,RPG,Strategy","RPG,Indie,Adventure,Action,Post-apocalyptic,Strategy,Action RPG,Party-Based RPG,Online Co-Op,Singleplayer,Co-op,Loot,Hack and Slash",52,71,,50
16,Sword of the Stars II: Enhanced Edition,44,1999,Kerberos Productions,Paradox Interactive,Multi-player,Strategy,"Strategy,4X,Space,Sci-fi,Singleplayer,Multiplayer,Turn-Based Strategy,Tactical,Lore-Rich,Turn-Based",65,71,55,40
17,GTR - FIA GT Racing Game,67,699,SimBin Studios AB,SimBin,"Single-player,Multi-player","Racing,Sports","Racing,Sports,Simulation",85,79,85,50
18,GT Legends,89,799,SimBin Studios AB,SimBin,"Single-player,Multi-player","Racing,Simulation,Sports","Racing,Simulation,Sports",84,78,85,89
19,Stronghold 3 Gold,30,2999,FireFly Studios,FireFly Studios,"Single-player,Multi-player,Steam Trading Cards,Includes level editor","Simulation,Strategy","Strategy,Medieval,City Builder,Simulation,RTS,Resource Management,Multiplayer,Historical,Singleplayer,Open World,Sandbox,Base-Building,Classic,Atmospheric,Co-op",,,,
20,Stronghold Kingdoms,65,,FireFly Studios,FireFly Studios,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Trading Cards","Free to Play,Massively Multiplayer,Strategy","Strategy,Free to Play,Medieval,Massively Multiplayer,Multiplayer,City Builder,Real-Time,Building,RTS,RPG,Action,Singleplayer,Open World,PvP,War,MMORPG,Sandbox",75,47,,50
21,Borderlands 2,93,1999,"Gearbox Software,Aspyr (Mac),Aspyr (Linux)","2K,Aspyr (Mac),Aspyr (Linux)","Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Action,RPG","FPS,Co-op,Action,RPG,Loot,Shooter,Open World,Funny,Multiplayer,Comedy,Adventure,Action RPG,Online Co-Op,Memes,Stylized,Sci-fi,Dark Humor,Futuristic,Singleplayer,Atmospheric",89,82,81,86
22,Spec Ops: The Line,93,2999,YAGER,"2K,Missing Link Games","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV","Action,Adventure","Story Rich,Third-Person Shooter,Action,Atmospheric,Psychological,Singleplayer,Third Person,War,Shooter,Adventure,Dark,Political,Multiplayer,Military,Mature,Great Soundtrack,Based On A Novel,Post-apocalyptic,Co-op,Horror",76,82,77,83
23,Jagged Alliance - Back in Action,69,1999,"Coreplay GmbH,Bigmoon Studios",THQ Nordic,"Single-player,Steam Achievements,Steam Trading Cards,Stats","RPG,Simulation,Strategy","Strategy,RPG,Tactical,Simulation,Real-Time with Pause,Remake,Action,Singleplayer,Turn-Based,Turn-Based Strategy,Tactical RPG",62,55,64,50
24,MacGuffin's Curse,84,999,Brawsome,Brawsome,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Adventure,Casual,Indie","Adventure,Casual,Indie,Puzzle,Werewolves,Comedy",73,74,,70
25,Wargame: European Escalation,77,999,Eugen Systems,Eugen Systems,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Valve Anti-Cheat enabled","Indie,Simulation,Strategy","Strategy,RTS,Military,Cold War,Wargame,Realistic,Real Time Tactics,Alternate History,War,Action,Singleplayer,Simulation,Multiplayer,Real-Time,Tactical",81,81,90,78
26,Critter Crunch,95,699,Capybara Games,Capybara Games,"Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards","Action,Indie,Casual","Indie,Casual,Puzzle,Action,Cute,Local Co-Op,Family Friendly,Multiplayer",,57,90,80
27,Dustforce DX,88,999,Hitbox Team,,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Indie","Platformer,Great Soundtrack,Indie,Difficult,Time Attack,2D,Action,Stylized,Local Multiplayer,Local Co-Op,Score Attack,Side Scroller,Level Editor,Fast-Paced,Singleplayer,Parkour,4 Player Local,Atmospheric",79,76,80,80
28,SpellForce 2: Faith in Destiny,60,1499,Mind Over Matter Studios,THQ Nordic,"Single-player,Multi-player,Co-op","RPG,Strategy","Strategy,RPG,Fantasy,RTS",55,58,,50
29,Carrier Command: Gaea Mission,44,3299,Bohemia Interactive,Bohemia Interactive,"Single-player,Steam Achievements,Captions available,Partial Controller Support,Stats","Action,Strategy","Strategy,Action,Sci-fi,RTS,Singleplayer,Tactical,Open World,Remake,FPS,Simulation,3D Vision",60,56,60,65
30,The Darkness II,91,2999,Digital Extremes,2K,"Single-player,Co-op,Steam Achievements,Partial Controller Support",Action,"FPS,Action,Gore,Shooter,Co-op,Singleplayer,Dark,Horror,First-Person,Multiplayer,Atmospheric,Violent,Story Rich,Short,Comic Book,Multiple Endings,Supernatural,Adventure,Nudity,Funny",77,76,77,77
31,Evochron Mercenary,78,1999,StarWraith 3D Games LLC,StarWraith 3D Games LLC,"Single-player,Multi-player,Co-op,Steam Trading Cards","Action,Indie,Simulation","Space,Simulation,Indie,Sci-fi,Action,Open World,Space Sim,Sandbox,Multiplayer,Flight,TrackIR,Trading,Co-op",70,76,79,60
32,Closure,86,999,Eyebrow Interactive,Eyebrow Interactive,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Commentary available",Indie,"Puzzle,Platformer,Indie,Puzzle-Platformer,Surreal,2D,Singleplayer,Experimental,Dark,Great Soundtrack,Atmospheric,Horror",78,65,80,73
33,Defenders of Ardania,33,,Most Wanted Entertainment,Paradox Interactive,"Single-player,Multi-player",Strategy,"Tower Defense,Strategy,Fantasy",58,46,56,40
34,The Blackwell Legacy,89,499,Wadjet Eye Games,Wadjet Eye Games,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie","Point & Click,Adventure,Indie,Female Protagonist,Supernatural,Mystery,Pixel Graphics,Detective,Singleplayer,Story Rich,Noir,2D,Atmospheric,Retro,Puzzle,Short,Third Person",80,78,70,83
35,Blackwell Unbound,94,499,Wadjet Eye Games,Wadjet Eye Games,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie","Adventure,Point & Click,Indie,Female Protagonist,Supernatural,Mystery,Detective,Singleplayer,Story Rich,Pixel Graphics,Noir,2D,Atmospheric,Third Person",,80,,78
36,Blackwell Convergence,96,499,Wadjet Eye Games,Wadjet Eye Games,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie","Point & Click,Adventure,Indie,Female Protagonist,Supernatural,Mystery,Detective,Pixel Graphics,Singleplayer,Noir,Story Rich,2D,Atmospheric,Third Person",,79,,85
37,Blackwell Deception,96,999,Wadjet Eye Games,Wadjet Eye Games,"Single-player,Steam Achievements,Steam Trading Cards","Adventure,Indie","Point & Click,Adventure,Indie,Female Protagonist,Supernatural,Mystery,Detective,Pixel Graphics,Noir,Singleplayer,2D,Story Rich,Atmospheric,Third Person",73,83,,87
38,Iron Front: Digital War Edition,60,1499,"X1 Software,AWAR",Deep Silver,"Single-player,Multi-player","Action,Simulation,Strategy","Simulation,Action,World War II,Strategy,Military,Historical,FPS,Realistic,Tactical,Tanks,War,Multiplayer,Singleplayer,Shooter,First-Person",55,67,,
39,The Dream Machine: Chapter 1 & 2,91,399,Cockroach Inc.,The Sleeping Machine,"Single-player,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie","Adventure,Point & Click,Indie,Episodic,Puzzle,Casual,Surreal,Horror,Story Rich,Atmospheric,Singleplayer,Dark,Mature,Psychological Horror,Mystery,Exploration,Fantasy,Great Soundtrack,Classic,2D",75,81,,
40,Nexuiz,60,999,IllFonic,"IllFonic,Psyop Games","Single-player,Multi-player,Steam Achievements,Steam Workshop,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards,Includes level editor",Action,"Action,Arena Shooter,FPS",54,68,80,
41,Magic: The Gathering - Duels of the Planeswalkers 2013,88,999,Stainless Games,Wizards of the Coast LLC,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Stats,Steam Leaderboards,Remote Play Together",Strategy,"Card Game,Strategy,Trading Card Game,Multiplayer,Singleplayer,Fantasy,Magic,Board Game,Co-op",77,68,80,72
42,Toy Soldiers,90,999,Signal Studios,,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Casual,Simulation,Strategy","Tower Defense,Strategy,World War I,Action,Casual,Simulation,Historical,Singleplayer",71,74,80,80
43,Hard Reset Extended Edition,83,1499,Flying Wild Hog,Good Shepherd Entertainment,"Single-player,Steam Achievements,Partial Controller Support,Stats,Steam Leaderboards","Action,Indie","FPS,Cyberpunk,Action,Sci-fi,Indie,Shooter,First-Person,Singleplayer,Dystopian ,Robots,Difficult,3D Vision,Atmospheric",73,73,70,68
44,Garshasp: Temple of the Dragon,32,499,Dead Mage,Digital Dragon,"Single-player,Partial Controller Support","Action,Indie","Action,Indie,Hack and Slash",,66,,40
45,Kingdoms of Amalur: Reckoningâ„¢,88,1999,"Big Huge Games,38 Studios","38 Studios,Electronic Arts","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Remote Play on Tablet","Action,RPG","RPG,Fantasy,Open World,Singleplayer,Action RPG,Action,Adventure,Third Person,Loot,Story Rich,Magic,Character Customization,Hack and Slash,Exploration,Sandbox,Controller,Crafting,Atmospheric,Female Protagonist,Great Soundtrack",81,67,79,77
46,Shank 2,82,999,Klei Entertainment,Klei Entertainment,"Single-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play on TV","Action,Adventure,Indie","Action,Beat 'em up,Indie,Adventure,2D,Local Co-Op,Side Scroller,Platformer,Co-op,Gore,Hack and Slash,Stylized,Mature,Shooter,Controller,Singleplayer,Difficult",72,64,75,80
47,Warp,72,999,Trapdoor Inc.,Electronic Arts,"Single-player,Partial Controller Support","Action,Adventure,Indie","Action,Adventure,Indie,Puzzle,Stealth,Aliens",75,58,71,80
48,Storm in a Teacup,69,499,Cobra Mobile,Cobra Mobile,"Single-player,Steam Achievements","Casual,Indie","Casual,Indie,Platformer",,58,,70
49,A New Beginning - Final Cut,76,999,Daedalic Entertainment,Daedalic Entertainment,"Single-player,Steam Achievements","Adventure,Indie","Adventure,Point & Click,Indie,Sci-fi,Post-apocalyptic,Hand-drawn,Singleplayer,Puzzle,Female Protagonist,Story Rich,2D",72,68,75,50
50,Age of EmpiresÂ® III: Complete Collection,90,3999,Ensemble Studios,Xbox Game Studios,"Single-player,Multi-player,Steam Trading Cards","Simulation,Strategy","Strategy,RTS,Base-Building,Multiplayer,Historical,Resource Management,City Builder,War,Simulation,Real-Time,Singleplayer,Classic,Military,Building,Open World,Action,Co-op,Real-Time with Pause,Online Co-Op,Adventure",81,77,,80
51,PixelJunkâ„¢ Eden,80,999,Q-Games Ltd.,Q-Games Ltd.,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Casual,Indie","Casual,Indie,Platformer,Great Soundtrack,Action,Atmospheric,Music,Colorful,Singleplayer,Relaxing,2D,Pixel Graphics",81,67,87,40
52,Starpoint Gemini,32,1399,Little Green Men Games,Little Green Men Games,Single-player,"RPG,Simulation","Simulation,RPG,Space,Sci-fi",46,83,65,40
53,Ticket to Ride,87,999,Days of Wonder,"Days of Wonder,Asmodee Digital","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Turn Notifications,Remote Play Together","Casual,Indie,Strategy","Board Game,Strategy,Casual,Multiplayer,Turn-Based,Trains,Family Friendly,Indie,Singleplayer,Touch-Friendly",,74,63,80
54,Vessel,89,1999,Strange Loop Games,IndiePub,"Single-player,Steam Achievements,Full controller support","Action,Indie,Strategy","Puzzle,Indie,Platformer,Steampunk,Action,Physics,Strategy,Singleplayer,Puzzle-Platformer,Adventure,2D,Sci-fi,Great Soundtrack",81,78,76,43
55,Death Rally,70,999,"Remedy Entertainment,Mountain Sheep,Cornfox & Brothers",Remedy Entertainment,"Single-player,Multi-player,Co-op","Action,Racing","Racing,Action,Remake,Arcade,Top-Down,Multiplayer",62,56,,50
56,Alan Wake,91,1499,Remedy Entertainment,Remedy Entertainment,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV","Action,Adventure","Action,Horror,Adventure,Third Person,Story Rich,Atmospheric,Singleplayer,Psychological Horror,Thriller,Great Soundtrack,Episodic,Mystery,Third-Person Shooter,Dark,Cinematic,Supernatural,Narration,Survival Horror,Shooter,Survival",83,80,83,82
57,Fowl Space,60,499,Pixelante Game Studios,Pixelante Game Studios,Single-player,"Action,Indie","Action,Indie,Memes",,52,,50
58,Mutant Storm: Reloaded,63,499,PomPom Games,PomPom Games,"Single-player,Multi-player,Co-op,Shared/Split Screen,Full controller support,Remote Play on TV,Remote Play Together","Action,Indie","Indie,Action,Twin Stick Shooter,Arcade",,,85,60
59,Snuggle Truck,82,499,Owlchemy Labs,Owlchemy Labs,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Leaderboards,Includes level editor","Casual,Indie,Racing","Casual,Racing,Indie,Driving,Singleplayer,Level Editor",,49,,80
60,Fallen Earth Free2Play,56,,Little Orbit,Little Orbit,"Multi-player,MMO,Co-op,Steam Achievements","Free to Play,Massively Multiplayer,RPG","Free to Play,Survival,Multiplayer,Open World,Post-apocalyptic,Zombies,Massively Multiplayer,Crafting,RPG,Shooter,Adventure,FPS,Sandbox,Co-op,First-Person,Action,Singleplayer,MMORPG,Third-Person Shooter,Action RPG",71,70,58,50
61,Stacking,89,999,Double Fine Productions,Double Fine Productions,"Single-player,Partial Controller Support","Adventure,Indie","Adventure,Puzzle,Indie,Comedy,Third Person,Singleplayer,Short,Exploration,Funny,Family Friendly,Casual,Cute,Atmospheric,Steampunk",80,77,84,64
62,Iron Brigade,83,1499,Double Fine Productions,Double Fine Productions,"Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Captions available,Steam Cloud,Steam Leaderboards,Remote Play on TV","Action,Strategy","Tower Defense,Action,Mechs,Strategy,Co-op,Third-Person Shooter,Funny,Comedy,Online Co-Op",75,53,,70
63,Prototype 2,73,3999,Radical Entertainment,Activision,"Single-player,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","Action,Adventure","Action,Open World,Gore,Adventure,Third Person,Violent,Singleplayer,Superhero,Parkour,Zombies,Hack and Slash,Sandbox,Sci-fi,RPG,Story Rich,Multiplayer,Stealth,Atmospheric,Horror,Co-op",76,65,77,68
64,Quantum Conundrum,84,899,Airtight Games,Square Enix,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on TV","Casual,Strategy","Puzzle,First-Person,Comedy,Physics,Platformer,Casual,Singleplayer,Strategy,Time Manipulation,Science,Cartoony,Family Friendly,Adventure,Sci-fi,Funny,Controller",77,73,74,64
65,Worms Revolution,86,1499,Team17 Digital Ltd,Team17 Digital Ltd,"Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play Together",Strategy,"Strategy,Multiplayer,Funny,Turn-Based Strategy,Turn-Based,Comedy,Local Co-Op,Local Multiplayer,Physics,Singleplayer,2.5D,Action,Tactical,Co-op,Family Friendly,Team-Based,Classic,Side Scroller,4 Player Local,2D",73,68,68,70
66,Realm of the Mad God,84,,"Wild Shadow Studios,Deca Games",Deca Games,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Stats","Action,Free to Play,Indie,Massively Multiplayer,RPG","Free to Play,Massively Multiplayer,Pixel Graphics,RPG,Perma Death,Multiplayer,Bullet Hell,MMORPG,Action,Indie,Rogue-like,2D,Open World,Adventure,Difficult,Survival,Co-op,Retro,Strategy,Casual",82,71,,
67,Batman: Arkham City - Game of the Year Edition,95,1999,"Rocksteady Studios,Feral Interactive (Mac)","Warner Bros. Interactive Entertainment,Feral Interactive (Mac)","Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud","Action,Adventure","Action,Open World,Batman,Adventure,Stealth,Third Person,Superhero,Singleplayer,Beat 'em up,Comic Book,Detective,Fighting,Story Rich,Atmospheric,Action-Adventure,Cinematic,Controller,3D Vision,Metroidvania,Sandbox",91,87,91,87
68,A Game of Dwarves,62,999,Zeal Game Studio,Paradox Interactive,Single-player,"Casual,Strategy","Strategy,Casual,City Builder,Fantasy,Building,Simulation,Crafting,Singleplayer",60,65,66,50
69,Oil Rush,50,799,Unigine Corp.,Unigine Corp.,"Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Steam Cloud,Stats,Steam Leaderboards","Indie,Strategy","Strategy,Indie,RTS,Tower Defense,Dystopian ,Naval,Singleplayer",67,65,50,50
70,SOL: Exodus,50,799,"Bit Planet Games, LLC","Bit Planet Games, LLC","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,Simulation","Indie,Simulation,Action,Space",57,65,40,50
71,Memento Mori,62,1299,Bohemia Interactive,Bohemia Interactive,Single-player,Adventure,"Adventure,Point & Click,Singleplayer",66,76,,50
72,XCOM: Enemy Unknown,95,2999,"Firaxis Games,Feral Interactive (Linux)","2K,Feral Interactive (Linux)","Single-player,Multi-player,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play on TV",Strategy,"Turn-Based Strategy,Tactical,Strategy,Sci-fi,Turn-Based,Aliens,Singleplayer,Base-Building,Turn-Based Tactics,Replay Value,Multiplayer,Action,Perma Death,RPG,Character Customization,Difficult,Atmospheric,Futuristic,Isometric,Great Soundtrack",89,82,89,83
73,Torchlight II,94,1999,Runic Games,Runic Games,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud","Action,Adventure,Indie,RPG","RPG,Action RPG,Hack and Slash,Co-op,Dungeon Crawler,Loot,Fantasy,Online Co-Op,Action,Multiplayer,Adventure,Singleplayer,Indie,Moddable,Character Customization,Replay Value,Isometric,Steampunk,Atmospheric,Cartoon",88,85,86,80
74,Revelations 2012,59,,Dark Artz Entertainment,Dark Artz Entertainment,"Single-player,Multi-player,Co-op,Cross-Platform Multiplayer,Steam Achievements,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Stats","Action,Indie,Strategy","Action,Indie,Strategy,FPS,Multiplayer",,19,,50
75,Total War Saga: FALL OF THE SAMURAI,71,2999,"CREATIVE ASSEMBLY,Feral Interactive (Mac),Feral Interactive (Linux)","SEGA,Feral Interactive (Mac),Feral Interactive (Linux)","Single-player,Multi-player,Co-op",Strategy,"Strategy,Historical,RTS,Turn-Based Strategy,Multiplayer,Singleplayer,Grand Strategy,Co-op,War,Action,Ninja,Online Co-Op,Great Soundtrack,Military,Anime",86,85,,
76,Really Big Sky,76,499,Boss Baddie,Ripstone,"Single-player,Multi-player,Shared/Split Screen,Steam Trading Cards,Partial Controller Support,Steam Cloud,Remote Play Together","Action,Indie","Indie,Action,Shoot 'Em Up,Space,Twin Stick Shooter,Shooter,Bullet Hell,Arcade,Side Scroller,Local Co-Op,Singleplayer,Great Soundtrack,Retro,2D",,51,,60
77,Orcs Must Die! 2,95,1499,Robot Entertainment,Robot Entertainment,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Indie,Strategy","Tower Defense,Co-op,Action,Strategy,Online Co-Op,Indie,Third Person,Fantasy,Multiplayer,Funny,Comedy,Third-Person Shooter,Singleplayer,Cartoony,RPG,Shooter,Adventure,Female Protagonist,Great Soundtrack,Controller",83,79,82,74
78,Choplifter HD,82,,inXile Entertainment,inXile Entertainment,"Single-player,Steam Achievements,Partial Controller Support,Steam Leaderboards",Action,"Action,Arcade,Zombies",65,65,63,80
79,Ridge Racerâ„¢ Unbounded,56,999,BUGBEAR,BANDAI NAMCO Entertainment,"Single-player,Steam Achievements,Partial Controller Support",Racing,"Racing,Arcade,Destruction,Action,Singleplayer,Open World,Multiplayer",72,61,76,64
80,Scary Girl,63,699,TikGames,Square Enix,"Single-player,Multi-player,Shared/Split Screen,Steam Achievements,Partial Controller Support,Steam Leaderboards,Remote Play Together",Action,"Action,Platformer,Female Protagonist,Horror",,,66,50
81,Scoregasm,82,499,RC Knight,Charlie's Games,"Single-player,Steam Achievements,Stats","Action,Indie","Indie,Action,Twin Stick Shooter,Bullet Hell,Score Attack,Shoot 'Em Up",,85,,80
82,Hegemony Gold: Wars of Ancient Greece,96,1499,Longbow Games,Longbow Games,"Single-player,Steam Cloud","Indie,Strategy","Strategy,Indie,Historical,RTS,Real-Time with Pause",,67,,80
83,Dynamite Jack,86,999,"Hassey Enterprises, Inc.","Hassey Enterprises, Inc.","Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Includes level editor","Action,Adventure,Indie","Action,Indie,Adventure,Stealth,Top-Down",,74,,80
84,Alan Wake's American Nightmare,71,899,Remedy Entertainment,Remedy Entertainment,"Single-player,Full controller support,Remote Play on TV","Action,Adventure","Action,Adventure,Horror,Third Person,Singleplayer,Third-Person Shooter,Thriller,Psychological Horror,Mystery,Arcade,Atmospheric,Survival Horror,Cinematic,Detective,Shooter,Story Rich,Survival,Supernatural,Controller,Short",73,66,79,69
85,Call of DutyÂ®: Black Ops II,85,5999,Treyarch,Activision,"Single-player,Multi-player,Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Valve Anti-Cheat enabled,Steam Leaderboards,Remote Play on TV",Action,"Action,Multiplayer,FPS,Shooter,First-Person,Singleplayer,Co-op,War,Online Co-Op,Team-Based,Futuristic,Survival,Controller,Adventure,Tactical,Great Soundtrack,Sci-fi,Massively Multiplayer,Atmospheric,Horror",74,45,78,73
86,Hitman: Absolutionâ„¢,91,1999,Io-Interactive A/S,Io-Interactive A/S,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud",Action,"Stealth,Action,Third Person,Assassin,Singleplayer,Third-Person Shooter,Tactical,Replay Value,Shooter,Crime,Cinematic,Difficult,Story Rich,Multiplayer,Atmospheric,Adventure,Strategy,Score Attack,Linear,Controller",79,71,76,77
87,Titan Attacks!,91,999,Puppygames,Puppygames,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Action,Casual,Indie","Indie,Arcade,Action,Casual,Retro,Shooter,Sci-fi,Singleplayer,2D,Shoot 'Em Up,Pixel Graphics,Aliens",,76,73,67
88,King's Bounty: Warriors of the North,83,999,1C-SoftClub,1C Entertainment,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud,Steam Leaderboards","RPG,Strategy","RPG,Strategy,Turn-Based Strategy,Tactical,Turn-Based,Strategy RPG,Fantasy,Tactical RPG,Adventure,Hex Grid",74,70,,67
