ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
472,Alexa's Wild Night,81,999,Dharker Studio,Dharker Studios Ltd,"Single-player,Steam Achievements,Partial Controller Support","Casual,Indie","Nudity,Sexual Content,Casual,Indie,Visual Novel",,,,70
473,Storm VR,71,,"TeamStormVR,Anrick,UNIT9",TeamStormVR,Single-player,"Adventure,Casual,Indie,Simulation","Adventure,Simulation,Indie,Casual,Episodic,VR,Survival",,,,60
474,Luna Online: Reborn,58,,Funtime,Subagames,"Multi-player,MMO,PvP,Online PvP,In-App Purchases","Adventure,Casual,Free to Play,Massively Multiplayer,RPG","RPG,Free to Play,Massively Multiplayer,Adventure,Casual,Anime,MMORPG",,,,
475,Stonehenge VR SANDBOX,60,1499,VoyagerVR,VoyagerVR,"Single-player,Includes level editor",Casual,"Casual,Design & Illustration,Education,Sandbox,Building,VR,VR Only",,,,
476,Mushroom Wars 2,64,1499,Zillion Whales,Zillion Whales,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Remote Play on TV,Remote Play Together","Action,Indie,Strategy","Strategy,Action,Indie,RTS,Multiplayer,Tower Defense,Tactical,2D,Atmospheric,Replay Value,Classic",76,64,63,80
477,The Signal From TÃ¶lva,68,1999,Big Robot Ltd,Big Robot Ltd,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud",Action,"Action,Robots,Open World,Sci-fi,FPS,First-Person,Indie,Singleplayer,Shooter,Exploration,Stealth,Atmospheric",,,,
478,TumbleSeed,78,1499,"Benedict Fritz,Greg Wohlwend,Joel Corelitz,David Laskey,Jenna Blazevich",aeiowu,"Single-player,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play on TV","Action,Adventure,Indie","Indie,Action,Adventure,Rogue-lite,Difficult,Rogue-like,2D",,62,84,80
479,SpiritSphere DX,88,999,Eendhoorn Games,Eendhoorn Games,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Stats,Remote Play Together","Action,Casual,Indie,Sports","Indie,Sports,Action,Casual,Local Multiplayer",64,,,
480,VR0GU3â„¢: Unapologetic Hardcore VR Edition,44,499,Big Dumb Fun Games,Big Dumb Fun Games,Single-player,"Action,Indie,RPG,Early Access","Early Access,Action,Indie,RPG,VR",,,,
481,Babylon 2055 Pinball,67,399,Shine Research,Plug In Digital,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Stats,Steam Leaderboards,Remote Play on TV",Casual,"Casual,Arcade,2D,Pinball",,,,
482,Lines,88,499,Gamious,Gamious,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Includes level editor","Casual,Indie","Casual,Indie,Puzzle",,,,70
483,ZRoll,60,99,"KxONE,Andrew Drumov,starmops",Bitlock Studio,"Single-player,Steam Achievements,Steam Trading Cards,Partial Controller Support","Action,Adventure,Casual,Indie","Casual,Action,Adventure,Indie",,,,40
484,The Slimeking's Tower,80,,CodeManu,RevampedPRO,"Single-player,Multi-player,PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Remote Play Together","Action,Adventure,Indie,RPG,Early Access","Early Access,Action,Adventure,Indie,RPG,Rogue-like,Rogue-lite",,,,70
485,Auto Age: Standoff,74,999,Phantom Compass,Phantom Compass,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards,Remote Play Together","Action,Indie","Action,Indie,Driving,Multiplayer,1980s,Fast-Paced,Replay Value,Co-op,Great Soundtrack,4 Player Local,Team-Based,Retro,Cartoony,Destruction,Female Protagonist,Online Co-Op,Futuristic,Sci-fi,Shooter",59,,58,70
486,Wizards:Home,,499,Wildcard Studios,Wildcard Studios,"Single-player,Multi-player,Shared/Split Screen,Full controller support,Remote Play Together","Action,Strategy",,,,,
487,Halo Wars: Definitive Edition,89,1999,"Ensemble Studios,Behaviour Interactive,343 Industries",Xbox Game Studios,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Steam Leaderboards,Remote Play on TV",Strategy,"Strategy,RTS,Sci-fi,Singleplayer,Multiplayer,Action,War,Great Soundtrack,Co-op,Simulation,Base-Building,Classic,Military,Aliens",,,78,80
488,Battlesloths 2025: The Great Pizza Wars,85,999,Invisible Collective,Invisible Collective,"Single-player,Multi-player,PvP,Online PvP,Shared/Split Screen PvP,Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Steam Leaderboards,Remote Play Together","Action,Indie","Action,Indie,4 Player Local,Pixel Graphics,Local Multiplayer,Multiplayer,Fast-Paced,2D,Cute,Funny,Memes",,,85,70
489,Star Fleet Armada Rogue Adventures,87,699,Blue  Blaze Gaming,Blue Blaze Gaming,"Single-player,Steam Achievements,Partial Controller Support","Indie,Simulation,Strategy","Indie,Strategy,Simulation,Space,2D",,,,70
