SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,NICKEL TOTAL,3.01,UG/L,,153.134075
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,NITROGEN TOTAL,0.772,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,OXYGEN DISSOLVED,11.58,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,PHOSPHORUS TOTAL,0.0919,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/4/2015,ZINC TOTAL,8.2,UG/L,,79.4535
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,AMMONIA DISSOLVED,0.027,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,ARSENIC TOTAL,0.6,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,CHLORIDE DISSOLVED,9.35,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,COPPER TOTAL,1.29,UG/L,,4.357722
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,LEAD TOTAL,0.172,UG/L,,7.9092
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,NICKEL TOTAL,1.17,UG/L,,164.613114
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,NITROGEN TOTAL,1.62,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,OXYGEN DISSOLVED,9.74,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,PHOSPHORUS TOTAL,0.215,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/5/2015,ZINC TOTAL,1.2,UG/L,,93.36825
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,AMMONIA DISSOLVED,0.066,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,ARSENIC TOTAL,2.42,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,CHLORIDE DISSOLVED,3.63,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,COPPER TOTAL,9.32,UG/L,,3.619596
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,LEAD TOTAL,6,UG/L,,5.998721
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,NICKEL TOTAL,10.3,UG/L,,139.565653
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,NITROGEN TOTAL,1.273,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,OXYGEN DISSOLVED,7.78,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,PHOSPHORUS TOTAL,0.307,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/6/2015,ZINC TOTAL,29.9,UG/L,,63.4275
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,AMMONIA DISSOLVED,0.011,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,ARSENIC TOTAL,0.86,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,CHLORIDE DISSOLVED,7.5,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,COPPER TOTAL,1.52,UG/L,,3.932189
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,LEAD TOTAL,0.183,UG/L,,6.786592
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,NICKEL TOTAL,1.43,UG/L,,150.236142
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,NITROGEN TOTAL,0.263,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,OXYGEN DISSOLVED,8.51,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,PHOSPHORUS TOTAL,0.0217,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/7/2015,ZINC TOTAL,1,UG/L,,75.9915
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,AMMONIA DISSOLVED,0.01,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,ARSENIC TOTAL,0.94,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,CHLORIDE DISSOLVED,7.71,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,COPPER TOTAL,1.84,UG/L,,3.76224
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,LEAD TOTAL,0.373,UG/L,,6.35428
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,NICKEL TOTAL,1.78,UG/L,,144.446986
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,NITROGEN TOTAL,0.251,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,OXYGEN DISSOLVED,7.96,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,PHOSPHORUS TOTAL,0.0222,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/8/2015,ZINC TOTAL,2,UG/L,,69.13875
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,AMMONIA DISSOLVED,0.01,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,ARSENIC TOTAL,0.91,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,CHLORIDE DISSOLVED,10.6,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,COPPER TOTAL,2.03,UG/L,,3.845114
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,LEAD TOTAL,0.669,UG/L,,6.563925
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,NICKEL TOTAL,2.22,UG/L,,147.273557
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,NITROGEN TOTAL,0.484,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,OXYGEN DISSOLVED,10.13,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,PHOSPHORUS TOTAL,0.0405,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/9/2015,ZINC TOTAL,4.1,UG/L,,72.474
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,AMMONIA DISSOLVED,0.027,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,ARSENIC TOTAL,0.46,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,CHLORIDE DISSOLVED,10.3,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,COPPER TOTAL,0.85,UG/L,,4.253039
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,LEAD TOTAL,0.244,UG/L,,7.627819
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,NICKEL TOTAL,0.92,UG/L,,161.091308
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,NITROGEN TOTAL,0.733,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,OXYGEN DISSOLVED,12,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,PHOSPHORUS TOTAL,0.0176,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/11/2015,ZINC TOTAL,2.1,UG/L,,89.0655
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,AMMONIA DISSOLVED,0.035,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,ARSENIC TOTAL,0.52,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,CHLORIDE DISSOLVED,12.8,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,COPPER TOTAL,0.7,UG/L,,5.216205
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,LEAD TOTAL,0.18,UG/L,,10.338929
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,NICKEL TOTAL,1.07,UG/L,,193.162555
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,NITROGEN TOTAL,1.028,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,OXYGEN DISSOLVED,14.12,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,PHOSPHORUS TOTAL,0.0092,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/12/2015,ZINC TOTAL,1.8,UG/L,,129.29025
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,AMMONIA DISSOLVED,0.164,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,ARSENIC TOTAL,0.44,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,CHLORIDE DISSOLVED,18.5,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,COPPER TOTAL,1,UG/L,,5.38948
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,LEAD TOTAL,0.135,UG/L,,10.854717
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,NICKEL TOTAL,1.28,UG/L,,198.859162
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,NITROGEN TOTAL,1.633,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,OXYGEN DISSOLVED,12.94,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,PHOSPHORUS TOTAL,0.0081,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/1/2016,ZINC TOTAL,2.5,UG/L,,136.6695
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,AMMONIA DISSOLVED,0.119,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,ARSENIC TOTAL,0.45,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,CHLORIDE DISSOLVED,17.9,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,COPPER TOTAL,1.19,UG/L,,4.424846
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,LEAD TOTAL,0.326,UG/L,,8.091377
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,NICKEL TOTAL,1.3,UG/L,,166.866384
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,NITROGEN TOTAL,1.463,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,OXYGEN DISSOLVED,12.68,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,PHOSPHORUS TOTAL,0.0178,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/2/2016,ZINC TOTAL,3.5,UG/L,,96.1365
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,AMMONIA DISSOLVED,0.017,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,ARSENIC TOTAL,0.47,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,CHLORIDE DISSOLVED,13.5,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,COPPER TOTAL,1.31,UG/L,,3.958044
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,LEAD TOTAL,0.354,UG/L,,6.853177
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,NICKEL TOTAL,1.32,UG/L,,151.114401
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,NITROGEN TOTAL,1.192,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,OXYGEN DISSOLVED,13.15,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,PHOSPHORUS TOTAL,0.0221,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",8/3/2016,ZINC TOTAL,3.5,UG/L,,77.0385
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,AMMONIA DISSOLVED,0.009,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,ARSENIC TOTAL,0.65,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,CHLORIDE DISSOLVED,12.1,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,COPPER TOTAL,1.1,UG/L,,4.394552
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,LEAD TOTAL,0.275,UG/L,,8.008988
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,NICKEL TOTAL,1.36,UG/L,,165.849916
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,NITROGEN TOTAL,0.715,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,OXYGEN DISSOLVED,9.82,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,PHOSPHORUS TOTAL,0.0207,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",20/04/2016,ZINC TOTAL,1.8,UG/L,,94.88625
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,AMMONIA DISSOLVED,0.012,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,ARSENIC TOTAL,0.68,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,CHLORIDE DISSOLVED,7.86,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,COPPER TOTAL,1.04,UG/L,,4.081405
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,LEAD TOTAL,0.158,UG/L,,7.173795
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,NICKEL TOTAL,1.22,UG/L,,155.296198
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,NITROGEN TOTAL,0.417,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,OXYGEN DISSOLVED,10.7,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,PHOSPHORUS TOTAL,0.018,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",11/5/2016,ZINC TOTAL,0.9,UG/L,,82.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,AMMONIA DISSOLVED,0.02,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,ARSENIC TOTAL,1.4,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,CHLORIDE DISSOLVED,5.11,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,COPPER TOTAL,5.99,UG/L,,3.283938
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,LEAD TOTAL,3.49,UG/L,,5.189119
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,NICKEL TOTAL,5.93,UG/L,,127.993374
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,NITROGEN TOTAL,0.784,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,OXYGEN DISSOLVED,9.13,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,PHOSPHORUS TOTAL,0.101,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",22/06/2016,ZINC TOTAL,15.9,UG/L,,50.14125
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,AMMONIA DISSOLVED,0.011,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,ARSENIC TOTAL,0.85,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,CHLORIDE DISSOLVED,7.67,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,COPPER TOTAL,1.73,UG/L,,3.604142
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,LEAD TOTAL,0.46,UG/L,,5.960605
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,NICKEL TOTAL,1.71,UG/L,,139.035534
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,NITROGEN TOTAL,0.256,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,OXYGEN DISSOLVED,8,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,PHOSPHORUS TOTAL,0.0394,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",6/7/2016,ZINC TOTAL,2.1,UG/L,,62.811
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,AMMONIA DISSOLVED,0.012,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,ARSENIC TOTAL,2.06,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,CHLORIDE DISSOLVED,11,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,COPPER TOTAL,6.16,UG/L,,3.321964
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,LEAD TOTAL,3.4,UG/L,,5.278888
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,NICKEL TOTAL,6.45,UG/L,,129.310715
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,NITROGEN TOTAL,0.492,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,OXYGEN DISSOLVED,8.83,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,PHOSPHORUS TOTAL,0.0993,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",24/08/2016,ZINC TOTAL,15.8,UG/L,,51.63525
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,AMMONIA DISSOLVED,0.009,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,ARSENIC TOTAL,0.69,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,CHLORIDE DISSOLVED,9.74,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,COPPER TOTAL,1.15,UG/L,,3.857648
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,LEAD TOTAL,0.317,UG/L,,6.595826
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,NICKEL TOTAL,1.27,UG/L,,147.700461
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,NITROGEN TOTAL,0.395,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,OXYGEN DISSOLVED,9.93,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,PHOSPHORUS TOTAL,0.0252,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",28/09/2016,ZINC TOTAL,1.8,UG/L,,72.9795
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,AMMONIA DISSOLVED,0.026,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,ARSENIC TOTAL,0.82,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,CHLORIDE DISSOLVED,8.49,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,COPPER TOTAL,1.94,UG/L,,3.791552
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,LEAD TOTAL,0.953,UG/L,,6.428175
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,NICKEL TOTAL,2.02,UG/L,,145.447513
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,NITROGEN TOTAL,0.688,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,OXYGEN DISSOLVED,11.69,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,PHOSPHORUS TOTAL,0.0517,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",26/10/2016,ZINC TOTAL,5.7,UG/L,,70.317
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,AMMONIA DISSOLVED,0.025,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,ARSENIC TOTAL,0.9,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,CHLORIDE DISSOLVED,6.63,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,COPPER TOTAL,2,UG/L,,3.735861
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,LEAD TOTAL,1.11,UG/L,,6.28802
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,NICKEL TOTAL,1.99,UG/L,,143.54585
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,NITROGEN TOTAL,0.629,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,OXYGEN DISSOLVED,10.84,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,PHOSPHORUS TOTAL,0.0524,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",15/11/2016,ZINC TOTAL,6.2,UG/L,,68.07975
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,AMMONIA DISSOLVED,0.11,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,ARSENIC TOTAL,0.51,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,CHLORIDE DISSOLVED,8.74,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,COPPER TOTAL,0.65,UG/L,,4.633249
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,LEAD TOTAL,0.121,UG/L,,8.665607
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,NICKEL TOTAL,1.05,UG/L,,173.838468
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,NITROGEN TOTAL,1.043,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,OXYGEN DISSOLVED,12.82,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,PHOSPHORUS TOTAL,0.0099,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",14/12/2016,ZINC TOTAL,1.5,UG/L,,104.7765
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,AMMONIA DISSOLVED,0.014,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,ARSENIC TOTAL,0.07,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,CHLORIDE DISSOLVED,0.13,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,COPPER TOTAL,0.22,UG/L,,2
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,LEAD TOTAL,0.056,UG/L,,2.364141
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,NICKEL TOTAL,0.11,UG/L,,80.048737
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,NITROGEN TOTAL,0.095,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,OXYGEN DISSOLVED,8.89,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,11/9/2013,ZINC TOTAL,0.2,UG/L,,7.5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,AMMONIA DISSOLVED,0.005,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,CHLORIDE DISSOLVED,0.33,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,COPPER TOTAL,0.08,UG/L,,2.370202
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,LEAD TOTAL,0.012,UG/L,,3.19249
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,NICKEL TOTAL,0.03,UG/L,,95.772039
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,NITROGEN TOTAL,0.065,MG/L,,1
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,OXYGEN DISSOLVED,12.05,MG/L,6.5,
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,PHOSPHORUS TOTAL,0.002,MG/L,,0.05
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,8/12/2015,ZINC TOTAL,0.2,UG/L,,15.20175
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,AMMONIA DISSOLVED,0.007,MG/L,,0.019
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,ARSENIC TOTAL,0.05,UG/L,,5
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,CHLORIDE DISSOLVED,0.32,MG/L,,120
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,COPPER TOTAL,0.09,UG/L,,2.511796
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,LEAD TOTAL,0.005,UG/L,,3.480726
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,NICKEL TOTAL,0.05,UG/L,,100.844195
BOW RIVER AT HIGHWAY 1 ABOVE LAKE LOUISE,19/01/2016,NITROGEN TOTAL,0.155,MG/L,,1
