SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,COPPER TOTAL,11.5,UG/L,,3.681028
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,LEAD TOTAL,6.58,UG/L,,6.151024
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,NICKEL TOTAL,12.4,UG/L,,141.670455
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,NITROGEN TOTAL,1.079,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,OXYGEN DISSOLVED,7.97,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,PHOSPHORUS TOTAL,0.505,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/7/2013,ZINC TOTAL,35.6,UG/L,,65.88255
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,AMMONIA DISSOLVED,0.005,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,ARSENIC TOTAL,0.73,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,CHLORIDE DISSOLVED,7.47,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,COPPER TOTAL,1.2,UG/L,,3.906404
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,LEAD TOTAL,0.215,UG/L,,6.7204
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,NICKEL TOTAL,1.27,UG/L,,149.359602
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,NITROGEN TOTAL,0.34,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,OXYGEN DISSOLVED,8.94,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,PHOSPHORUS TOTAL,0.023,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/8/2013,ZINC TOTAL,1.4,UG/L,,74.948475
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,AMMONIA DISSOLVED,0.025,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,ARSENIC TOTAL,0.7,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,CHLORIDE DISSOLVED,6.47,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,COPPER TOTAL,1.49,UG/L,,3.718705
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,LEAD TOTAL,0.199,UG/L,,6.245051
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,NICKEL TOTAL,1.19,UG/L,,142.959409
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,NITROGEN TOTAL,0.446,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,OXYGEN DISSOLVED,8.77,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,PHOSPHORUS TOTAL,0.016,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",4/9/2013,ZINC TOTAL,1,UG/L,,67.3917
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,AMMONIA DISSOLVED,0.015,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,ARSENIC TOTAL,0.56,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,CHLORIDE DISSOLVED,7.33,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,COPPER TOTAL,0.97,UG/L,,3.916796
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,LEAD TOTAL,0.143,UG/L,,6.747052
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,NICKEL TOTAL,0.95,UG/L,,149.712947
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,NITROGEN TOTAL,0.543,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,OXYGEN DISSOLVED,11.25,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,PHOSPHORUS TOTAL,0.015,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",9/10/2013,ZINC TOTAL,1.3,UG/L,,75.3687
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,AMMONIA DISSOLVED,0.01,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,ARSENIC TOTAL,0.43,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,CHLORIDE DISSOLVED,9.34,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",5/11/2013,COPPER TOTAL,0.88,UG/L,,4.182221
