Year,School Year,GEO,Level of study,VALUE
2014,2014/2015,Canada,International undergraduate,23290
2015,2014/2015,Canada,International graduate,15731
2015,2015/2016,Canada,Canadian undergraduate,6936
2015,2015/2016,Canada,Canadian graduate,7312
2015,2015/2016,Canada,International undergraduate,24994
2016,2015/2016,Canada,International graduate,16240
2016,2016/2017,Canada,Canadian undergraduate,7030
2016,2016/2017,Canada,Canadian graduate,7481
2016,2016/2017,Canada,International undergraduate,26111
2017,2016/2017,Canada,International graduate,17007
2017,2017/2018,Canada,Canadian undergraduate,7186
2017,2017/2018,Canada,Canadian graduate,7514
2017,2017/2018,Canada,International undergraduate,27743
2018,2017/2018,Canada,International graduate,17728
2018,2018/2019,Canada,Canadian undergraduate,7241
2018,2018/2019,Canada,Canadian graduate,7842
2018,2018/2019,Canada,International undergraduate,29310
2019,2018/2019,Canada,International graduate,18040
2019,2019/2020,Canada,Canadian undergraduate,6734
2019,2019/2020,Canada,Canadian graduate,7482
2019,2019/2020,Canada,International undergraduate,31113
2020,2019/2020,Canada,International graduate,18672
2020,2020/2021,Canada,Canadian undergraduate,6801
2020,2020/2021,Canada,Canadian graduate,7608
2020,2020/2021,Canada,International undergraduate,33115
2021,2020/2021,Canada,International graduate,20081
2021,2021/2022,Canada,Canadian undergraduate,6660
2021,2021/2022,Canada,Canadian graduate,7315
2021,2021/2022,Canada,International undergraduate,33446
2022,2021/2022,Canada,International graduate,20246
2022,2022/2023,Canada,Canadian undergraduate,6435
2022,2022/2023,Canada,Canadian graduate,6939
2022,2022/2023,Canada,International undergraduate,33561
2023,2022/2023,Canada,International graduate,19812
2023,2023/2024,Canada,Canadian undergraduate,6446
2023,2023/2024,Canada,Canadian graduate,6798
2023,2023/2024,Canada,International undergraduate,34477
2024,2023/2024,Canada,International graduate,19932
2024,2024/2025,Canada,Canadian undergraduate,6587
2024,2024/2025,Canada,Canadian graduate,6831
2024,2024/2025,Canada,International undergraduate,35179
2025,2024/2025,Canada,International graduate,20459
2025,2025/2026,Canada,Canadian undergraduate,6706
2025,2025/2026,Canada,Canadian graduate,6918
2025,2025/2026,Canada,International undergraduate,36199
#N/A,2025/2026,Canada,International graduate,20835
