ID,GlobalUniqueIdentifier,ScientificName,Order,Locality,DecimalLatitude,DecimalLongitude,YearCollected,MonthCollected,DayCollected,Collector,CollectorNumber,Remarks,SamplingEventIdentifier,TimeObservationsStarted,DurationInHours,NumberOfObservers,ObservationCount,ObservationDate,CommonName,BreedingBirdAtlasCode
B668,URN:NatureAlberta:ABATLAS2:92954-COLO,Gavia immer,Gaviiformes,Coyote Lake,51.3765,-112.103,2005,4,15,Doris Hopkins,5150,,92954,06:00:00,3,1,1,Apr 15 2005 12:00AM,Common Loon,X
B669,URN:NatureAlberta:ABATLAS2:93004-GRJA,Perisoreus canadensis,Passeriformes,"Muskeg River, VU74",57.25,-111.4,2005,5,17,Dawn Hall,6110,,93004,09:00:00,7.5,1,4,May 17 2005 12:00AM,Gray Jay,X
B670,URN:NatureAlberta:ABATLAS2:93004-CAGO,Branta canadensis,Anseriformes,"Muskeg River, VU74",57.25,-111.4,2005,5,17,Dawn Hall,6110,,93004,09:00:00,7.5,1,30,May 17 2005 12:00AM,Canada Goose,X
B671,URN:NatureAlberta:ABATLAS2:93025-GRJA,Perisoreus canadensis,Passeriformes,VT75,56.4389,-111.405,2005,6,16,Robert Grey,5258,,93025,09:30:00,3,0,4,Jun 16 2005 12:00AM,Gray Jay,FL
B672,URN:NatureAlberta:ABATLAS2:93050-GRJA,Perisoreus canadensis,Passeriformes,Atlas Square PK84 (8) Kilini Creek Natural Area End of RR21 S of Twp 540,53.5882,-114.187,2005,7,9,Stan Gosche,2112,,93050,07:00:00,3,3,2,Jul  9 2005 12:00AM,Gray Jay,FL
B673,URN:NatureAlberta:ABATLAS2:93050-BCCH,Poecile atricapillus,Passeriformes,Atlas Square PK84 (8) Kilini Creek Natural Area End of RR21 S of Twp 540,53.5882,-114.187,2005,7,9,Stan Gosche,2112,,93050,07:00:00,3,3,8,Jul  9 2005 12:00AM,Black-capped Chickadee,X
B674,URN:NatureAlberta:ABATLAS2:93075-BCCH,Poecile atricapillus,Passeriformes,12U-WR-29 Cold Lake Air Weapons Range,54.9996,-110.62,2005,5,14,Ted Hindmarch,9589,,93075,10:00:00,2,8,1,May 14 2005 12:00AM,Black-capped Chickadee,H
B675,URN:NatureAlberta:ABATLAS2:93075-GRJA,Perisoreus canadensis,Passeriformes,12U-WR-29 Cold Lake Air Weapons Range,54.9996,-110.62,2005,5,14,Ted Hindmarch,9589,3 separate family groups,93075,10:00:00,2,8,11,May 14 2005 12:00AM,Gray Jay,H
B676,URN:NatureAlberta:ABATLAS2:93121-COLO,Gavia immer,Gaviiformes,12U-WR-66,54.7269,-110.038,2005,6,27,Ted Hindmarch,9589,,93121,21:15:00,1.75,1,3,Jun 27 2005 12:00AM,Common Loon,T
B677,URN:NatureAlberta:ABATLAS2:93121-CAGO,Branta canadensis,Anseriformes,12U-WR-66,54.7269,-110.038,2005,6,27,Ted Hindmarch,9589,"3 Adult, 12 goslings",93121,21:15:00,1.75,1,3,Jun 27 2005 12:00AM,Canada Goose,FL
B678,URN:NatureAlberta:ABATLAS2:93142-COLO,Gavia immer,Gaviiformes,12U-WR-37 Cold Lake Air Weapons Range - CNRL Burnt Lake Operations Area,54.7817,-110.387,2005,7,9,Ted Hindmarch,9589,1 fl,93142,13:45:00,0.5,2,2,Jul  9 2005 12:00AM,Common Loon,FL
B679,URN:NatureAlberta:ABATLAS2:93146-COLO,Gavia immer,Gaviiformes,12U-WR-11,54.2888,-110.757,2005,5,28,Ted Hindmarch,9589,,93146,05:10:00,6.58333,1,1,May 28 2005 12:00AM,Common Loon,X
B680,URN:NatureAlberta:ABATLAS2:93146-BCCH,Poecile atricapillus,Passeriformes,12U-WR-11,54.2888,-110.757,2005,5,28,Ted Hindmarch,9589,,93146,05:10:00,6.58333,1,4,May 28 2005 12:00AM,Black-capped Chickadee,H
B681,URN:NatureAlberta:ABATLAS2:93146-CAGO,Branta canadensis,Anseriformes,12U-WR-11,54.2888,-110.757,2005,5,28,Ted Hindmarch,9589,"FL at Jessie Lake, many pairs",93146,05:10:00,6.58333,1,68,May 28 2005 12:00AM,Canada Goose,FL
B682,URN:NatureAlberta:ABATLAS2:94128-BCCH,Poecile atricapillus,Passeriformes,UP51,52.4659,-113.135,2005,4,20,Dale Baden,9653,,94128,06:00:00,3,0,1,Apr 20 2005 12:00AM,Black-capped Chickadee,H
B683,URN:NatureAlberta:ABATLAS2:94504-COLO,Gavia immer,Gaviiformes,VT95,56.4395,-111.081,2005,6,30,Robert Grey,5258,,94504,07:00:00,5,0,2,Jun 30 2005 12:00AM,Common Loon,P
B684,URN:NatureAlberta:ABATLAS2:94504-GRJA,Perisoreus canadensis,Passeriformes,VT95,56.4395,-111.081,2005,6,30,Robert Grey,5258,,94504,07:00:00,5,0,3,Jun 30 2005 12:00AM,Gray Jay,FL
B685,URN:NatureAlberta:ABATLAS2:94646-BCCH,Poecile atricapillus,Passeriformes,VP67,53.0234,-111.522,2005,6,14,Prez Winter,9445,,94646,05:30:00,5,0,5,Jun 14 2005 12:00AM,Black-capped Chickadee,H
B686,URN:NatureAlberta:ABATLAS2:94646-CAGO,Branta canadensis,Anseriformes,VP67,53.0234,-111.522,2005,6,14,Prez Winter,9445,,94646,05:30:00,5,0,6,Jun 14 2005 12:00AM,Canada Goose,FL
B687,URN:NatureAlberta:ABATLAS2:94667-COLO,Gavia immer,Gaviiformes,PJ41,52.4659,-114.865,2005,6,14,Fred Sutherland,6133,,94667,14:00:00,1,0,2,Jun 14 2005 12:00AM,Common Loon,P
B688,URN:NatureAlberta:ABATLAS2:94671-BCCH,Poecile atricapillus,Passeriformes,UN71,51.5739,-112.805,2005,6,12,Haze Wescott,9533,,94671,08:00:00,9,0,8,Jun 12 2005 12:00AM,Black-capped Chickadee,T
B689,URN:NatureAlberta:ABATLAS2:94738-GRJA,Perisoreus canadensis,Passeriformes,PL32,54.3589,-114.916,2005,7,13,John Arnold,9424,,94738,06:00:00,6,0,3,Jul 13 2005 12:00AM,Gray Jay,H
B690,URN:NatureAlberta:ABATLAS2:94738-BCCH,Poecile atricapillus,Passeriformes,PL32,54.3589,-114.916,2005,7,13,John Arnold,9424,,94738,06:00:00,6,0,6,Jul 13 2005 12:00AM,Black-capped Chickadee,X
B691,URN:NatureAlberta:ABATLAS2:94738-CAGO,Branta canadensis,Anseriformes,PL32,54.3589,-114.916,2005,7,13,John Arnold,9424,,94738,06:00:00,6,0,6,Jul 13 2005 12:00AM,Canada Goose,FL
B692,URN:NatureAlberta:ABATLAS2:94742-COLO,Gavia immer,Gaviiformes,PH46,52.0167,-114.887,2005,7,10,Murray Schultz,6106,,94742,16:30:00,2,1,6,Jul 10 2005 12:00AM,Common Loon,FL
B693,URN:NatureAlberta:ABATLAS2:94742-GRJA,Perisoreus canadensis,Passeriformes,PH46,52.0167,-114.887,2005,7,10,Murray Schultz,6106,,94742,16:30:00,2,1,3,Jul 10 2005 12:00AM,Gray Jay,FL
B694,URN:NatureAlberta:ABATLAS2:94742-BCCH,Poecile atricapillus,Passeriformes,PH46,52.0167,-114.887,2005,7,10,Murray Schultz,6106,,94742,16:30:00,2,1,3,Jul 10 2005 12:00AM,Black-capped Chickadee,H
B695,URN:NatureAlberta:ABATLAS2:94809-COLO,Gavia immer,Gaviiformes,PL22,54.3588,-115.089,2005,7,20,John Arnold,9424,,94809,16:00:00,1.5,0,3,Jul 20 2005 12:00AM,Common Loon,X
B696,URN:NatureAlberta:ABATLAS2:94997-BCCH,Poecile atricapillus,Passeriformes,UP2,52.5401,-113.876,2005,5,9,Judy Boyd,5043,,94997,13:50:00,3.83333,2,4,May  9 2005 12:00AM,Black-capped Chickadee,T
B697,URN:NatureAlberta:ABATLAS2:94997-CAGO,Branta canadensis,Anseriformes,UP2,52.5401,-113.876,2005,5,9,Judy Boyd,5043,,94997,13:50:00,3.83333,2,26,May  9 2005 12:00AM,Canada Goose,ON
B698,URN:NatureAlberta:ABATLAS2:94997-COLO,Gavia immer,Gaviiformes,UP2,52.5401,-113.876,2005,5,9,Judy Boyd,5043,,94997,13:50:00,3.83333,2,1,May  9 2005 12:00AM,Common Loon,H
B699,URN:NatureAlberta:ABATLAS2:95022-CAGO,Branta canadensis,Anseriformes,up22,52.5228,-113.578,2005,6,23,Andy Murphy,6181,,95022,09:00:00,0.5,1,2,Jun 23 2005 12:00AM,Canada Goose,FL
B700,URN:NatureAlberta:ABATLAS2:95160-CAGO,Branta canadensis,Anseriformes,MQ31,57.8764,-118.102,2005,5,31,Adam Blake,9934,,95160,12:00:00,1,0,1,May 31 2005 12:00AM,Canada Goose,X
B701,URN:NatureAlberta:ABATLAS2:95302-CAGO,Branta canadensis,Anseriformes,UP26,52.9061,-113.602,2005,4,10,Judy Boyd,5043,,95302,10:30:00,7,1,6,Apr 10 2005 12:00AM,Canada Goose,ON
B702,URN:NatureAlberta:ABATLAS2:95323-CAGO,Branta canadensis,Anseriformes,UN38,52.1907,-113.414,2005,5,2,Judy Boyd,5043,,95323,09:30:00,5.5,5,3,May  2 2005 12:00AM,Canada Goose,P
B703,URN:NatureAlberta:ABATLAS2:95327-CAGO,Branta canadensis,Anseriformes,UN8,52.1911,-113.821,2005,5,6,Judy Boyd,5043,,95327,17:00:00,1,0,1,May  6 2005 12:00AM,Canada Goose,X
B704,URN:NatureAlberta:ABATLAS2:95536-BCCH,Poecile atricapillus,Passeriformes,MP51,56.9803,-117.744,2005,7,6,Jeanne Smith,9429,,95536,18:00:00,1,1,1,Jul  6 2005 12:00AM,Black-capped Chickadee,X
B705,URN:NatureAlberta:ABATLAS2:95561-BCCH,Poecile atricapillus,Passeriformes,NG97,51.2185,-115.64,2005,5,15,Donna McKown,9914,,95561,13:30:00,1,0,2,May 15 2005 12:00AM,Black-capped Chickadee,P
B706,URN:NatureAlberta:ABATLAS2:95653-COLO,Gavia immer,Gaviiformes,VR37,54.8179,-112.012,2005,6,24,Lois Burkinshaw,5363,,95653,08:00:00,7,1,1,Jun 24 2005 12:00AM,Common Loon,H
B707,URN:NatureAlberta:ABATLAS2:95653-BCCH,Poecile atricapillus,Passeriformes,VR37,54.8179,-112.012,2005,6,24,Lois Burkinshaw,5363,,95653,08:00:00,7,1,2,Jun 24 2005 12:00AM,Black-capped Chickadee,H
B708,URN:NatureAlberta:ABATLAS2:95653-CAGO,Branta canadensis,Anseriformes,VR37,54.8179,-112.012,2005,6,24,Lois Burkinshaw,5363,,95653,08:00:00,7,1,2,Jun 24 2005 12:00AM,Canada Goose,H
B709,URN:NatureAlberta:ABATLAS2:95657-BCCH,Poecile atricapillus,Passeriformes,PJ31,52.4685,-115.013,2005,7,8,Lois Burkinshaw,5363,,95657,09:00:00,8,1,6,Jul  8 2005 12:00AM,Black-capped Chickadee,CF
B710,URN:NatureAlberta:ABATLAS2:95657-COLO,Gavia immer,Gaviiformes,PJ31,52.4685,-115.013,2005,7,8,Lois Burkinshaw,5363,,95657,09:00:00,8,1,10,Jul  8 2005 12:00AM,Common Loon,FL
B711,URN:NatureAlberta:ABATLAS2:95724-BCCH,Poecile atricapillus,Passeriformes,"The quarter sections on both sides of Range Road 30, from Highway 616 to Township Road 482.  The area is one mile wide, and two ",53.1169,-114.306,2005,8,5,Javan Green,9930,,95724,06:30:00,1.25,1,19,Aug  5 2005 12:00AM,Black-capped Chickadee,H
B712,URN:NatureAlberta:ABATLAS2:95749-COLO,Gavia immer,Gaviiformes,Sylvan Lake,52.3863,-114.232,2005,5,4,Tony Blake,9933,,95749,17:00:00,0.333333,0,1,May  4 2005 12:00AM,Common Loon,H
B713,URN:NatureAlberta:ABATLAS2:95770-BCCH,Poecile atricapillus,Passeriformes,NW17 38 27 W4,52.2349,-113.828,2005,4,10,Tony Blake,9933,,95770,09:00:00,1.5,0,1,Apr 10 2005 12:00AM,Black-capped Chickadee,H
B714,URN:NatureAlberta:ABATLAS2:95770-COLO,Gavia immer,Gaviiformes,NW17 38 27 W4,52.2349,-113.828,2005,4,10,Tony Blake,9933,flying,95770,09:00:00,1.5,0,1,Apr 10 2005 12:00AM,Common Loon,X
B715,URN:NatureAlberta:ABATLAS2:95933-BCCH,Poecile atricapillus,Passeriformes,NAD27 462949 6075605,54.8281,-111.577,2005,5,16,Hilary Cooke,9936,calling,95933,06:00:00,3,0,1,May 16 2005 12:00AM,Black-capped Chickadee,H
B716,URN:NatureAlberta:ABATLAS2:95937-BCCH,Poecile atricapillus,Passeriformes,NAD27 462404 6079600,54.864,-111.586,2005,6,4,Hilary Cooke,9936,calling,95937,06:00:00,3,0,1,Jun  4 2005 12:00AM,Black-capped Chickadee,H
B717,URN:NatureAlberta:ABATLAS2:96731-BCCH,Poecile atricapillus,Passeriformes,PK84,53.6195,-114.208,2005,7,15,Janet Woolgar,4807,,96731,16:00:00,1.75,0,8,Jul 15 2005 12:00AM,Black-capped Chickadee,T
B718,URN:NatureAlberta:ABATLAS2:96731-GRJA,Perisoreus canadensis,Passeriformes,PK84,53.6195,-114.208,2005,7,15,Janet Woolgar,4807,,96731,16:00:00,1.75,0,2,Jul 15 2005 12:00AM,Gray Jay,T
B719,URN:NatureAlberta:ABATLAS2:96735-BCCH,Poecile atricapillus,Passeriformes,PK84,53.6195,-114.208,2005,7,1,Janet Woolgar,4807,,96735,14:15:00,2.25,0,14,Jul  1 2005 12:00AM,Black-capped Chickadee,T
B720,URN:NatureAlberta:ABATLAS2:96827-GRJA,Perisoreus canadensis,Passeriformes,PG72,50.7509,-114.379,2005,5,29,Colin Young,6782,,96827,06:45:00,8.41667,1,4,May 29 2005 12:00AM,Gray Jay,H
B721,URN:NatureAlberta:ABATLAS2:96827-BCCH,Poecile atricapillus,Passeriformes,PG72,50.7509,-114.379,2005,5,29,Colin Young,6782,,96827,06:45:00,8.41667,1,9,May 29 2005 12:00AM,Black-capped Chickadee,H
B722,URN:NatureAlberta:ABATLAS2:96852-BCCH,Poecile atricapillus,Passeriformes,QG05 Calgary Glenmore Resevior,51.016,-114.08,2005,6,11,Rob Worona,6639,,96852,06:30:00,1,0,1,Jun 11 2005 12:00AM,Black-capped Chickadee,H
B723,URN:NatureAlberta:ABATLAS2:96873-BCCH,Poecile atricapillus,Passeriformes,PG69 - Swanson Hills & Ireland Hill,51.3852,-114.633,2005,7,31,Rob Worona,6639,,96873,06:00:00,12,0,3,Jul 31 2005 12:00AM,Black-capped Chickadee,H
B724,URN:NatureAlberta:ABATLAS2:96898-BCCH,Poecile atricapillus,Passeriformes,"UK03 - Near Sola Mnt, Waterton Lakes NP",49.0426,-113.664,2005,7,10,Cyndi Smith,10200,,96898,06:00:00,11,1,3,Jul 10 2005 12:00AM,Black-capped Chickadee,H
B725,URN:NatureAlberta:ABATLAS2:96898-GRJA,Perisoreus canadensis,Passeriformes,"UK03 - Near Sola Mnt, Waterton Lakes NP",49.0426,-113.664,2005,7,10,Cyndi Smith,10200,,96898,06:00:00,11,1,1,Jul 10 2005 12:00AM,Gray Jay,H
B726,URN:NatureAlberta:ABATLAS2:96965-GRJA,Perisoreus canadensis,Passeriformes,MK73 - Emerson Creek Rd,53.5638,-117.377,2005,5,30,Jack Wright,5328,,96965,10:00:00,1,0,2,May 30 2005 12:00AM,Gray Jay,H
B727,URN:NatureAlberta:ABATLAS2:96969-COLO,Gavia immer,Gaviiformes,MK 95 Wild Sculpture Trail,53.7426,-117.079,2005,5,27,Jack Wright,5328,,96969,07:45:00,6.25,0,2,May 27 2005 12:00AM,Common Loon,H
B728,URN:NatureAlberta:ABATLAS2:96969-CAGO,Branta canadensis,Anseriformes,MK 95 Wild Sculpture Trail,53.7426,-117.079,2005,5,27,Jack Wright,5328,also P. See trip notes.,96969,07:45:00,6.25,0,5,May 27 2005 12:00AM,Canada Goose,FL
B729,URN:NatureAlberta:ABATLAS2:97040-BCCH,Poecile atricapillus,Passeriformes,PM42,55.2501,-114.72,2005,1,4,Aaron A Lehman,6908,,97040,06:00:00,3,0,1,Jan  4 2005 12:00AM,Black-capped Chickadee,X
B730,URN:NatureAlberta:ABATLAS2:97061-BCCH,Poecile atricapillus,Passeriformes,PM42,55.2501,-114.72,2005,1,28,Aaron A Lehman,6908,,97061,06:00:00,3,0,1,Jan 28 2005 12:00AM,Black-capped Chickadee,X
B731,URN:NatureAlberta:ABATLAS2:97107-BCCH,Poecile atricapillus,Passeriformes,PM42,55.2501,-114.72,2005,4,1,Aaron A Lehman,6908,,97107,12:00:00,0,0,1,Apr  1 2005 12:00AM,Black-capped Chickadee,X
B732,URN:NatureAlberta:ABATLAS2:97111-BCCH,Poecile atricapillus,Passeriformes,PM42,55.2501,-114.72,2005,4,5,Aaron A Lehman,6908,,97111,12:00:00,0,0,1,Apr  5 2005 12:00AM,Black-capped Chickadee,X
B733,URN:NatureAlberta:ABATLAS2:98164-CAGO,Branta canadensis,Anseriformes,VL0 - Suncor Chin Chute Wind Resource Center,49.694,-112.313,2005,6,22,Stephen Glendinning,10122,,98164,05:27:00,9.36667,4,1,Jun 22 2005 12:00AM,Canada Goose,X
B734,URN:NatureAlberta:ABATLAS2:98185-GRJA,Perisoreus canadensis,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,2,28,Peter Sherrington,9626,,98185,06:55:00,11.75,0,3,Feb 28 2005 12:00AM,Gray Jay,X
B735,URN:NatureAlberta:ABATLAS2:98185-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,2,28,Peter Sherrington,9626,,98185,06:55:00,11.75,0,3,Feb 28 2005 12:00AM,Black-capped Chickadee,X
B736,URN:NatureAlberta:ABATLAS2:98189-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,4,Peter Sherrington,9626,,98189,06:50:00,12,0,2,Mar  4 2005 12:00AM,Black-capped Chickadee,X
B737,URN:NatureAlberta:ABATLAS2:98189-GRJA,Perisoreus canadensis,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,4,Peter Sherrington,9626,,98189,06:50:00,12,0,2,Mar  4 2005 12:00AM,Gray Jay,X
B738,URN:NatureAlberta:ABATLAS2:98189-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,4,Peter Sherrington,9626,,98189,06:50:00,12,0,2,Mar  4 2005 12:00AM,Canada Goose,X
B739,URN:NatureAlberta:ABATLAS2:98210-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,25,Peter Sherrington,9626,,98210,06:20:00,13.25,0,4,Mar 25 2005 12:00AM,Black-capped Chickadee,X
B740,URN:NatureAlberta:ABATLAS2:98210-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,25,Peter Sherrington,9626,,98210,06:20:00,13.25,0,17,Mar 25 2005 12:00AM,Canada Goose,X
B741,URN:NatureAlberta:ABATLAS2:98210-GRJA,Perisoreus canadensis,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,25,Peter Sherrington,9626,,98210,06:20:00,13.25,0,3,Mar 25 2005 12:00AM,Gray Jay,X
B742,URN:NatureAlberta:ABATLAS2:98214-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,29,Peter Sherrington,9626,,98214,06:00:00,13.75,0,7,Mar 29 2005 12:00AM,Black-capped Chickadee,X
B743,URN:NatureAlberta:ABATLAS2:98214-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,29,Peter Sherrington,9626,,98214,06:00:00,13.75,0,13,Mar 29 2005 12:00AM,Canada Goose,X
B744,URN:NatureAlberta:ABATLAS2:98214-GRJA,Perisoreus canadensis,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,3,29,Peter Sherrington,9626,,98214,06:00:00,13.75,0,1,Mar 29 2005 12:00AM,Gray Jay,X
B745,URN:NatureAlberta:ABATLAS2:98235-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,4,19,Peter Sherrington,9626,,98235,06:30:00,14.25,0,7,Apr 19 2005 12:00AM,Black-capped Chickadee,X
B746,URN:NatureAlberta:ABATLAS2:98235-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,4,19,Peter Sherrington,9626,,98235,06:30:00,14.25,0,9,Apr 19 2005 12:00AM,Canada Goose,X
B747,URN:NatureAlberta:ABATLAS2:98256-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,5,10,Peter Sherrington,9626,,98256,06:00:00,14,0,8,May 10 2005 12:00AM,Canada Goose,X
B748,URN:NatureAlberta:ABATLAS2:98260-BCCH,Poecile atricapillus,Passeriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,5,14,Peter Sherrington,9626,,98260,06:00:00,14.25,0,4,May 14 2005 12:00AM,Black-capped Chickadee,X
B749,URN:NatureAlberta:ABATLAS2:98260-CAGO,Branta canadensis,Anseriformes,Mount Lorrette Natural Area,50.8296,-115.306,2005,5,14,Peter Sherrington,9626,,98260,06:00:00,14.25,0,12,May 14 2005 12:00AM,Canada Goose,X
B750,URN:NatureAlberta:ABATLAS2:98281-COLO,Gavia immer,Gaviiformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,9,30,,10120,,98281,07:00:00,12.75,0,12,Sep 30 2005 12:00AM,Common Loon,X
B751,URN:NatureAlberta:ABATLAS2:98281-BCCH,Poecile atricapillus,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,9,30,,10120,,98281,07:00:00,12.75,0,6,Sep 30 2005 12:00AM,Black-capped Chickadee,X
B752,URN:NatureAlberta:ABATLAS2:98306-BCCH,Poecile atricapillus,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,10,25,,10120,,98306,07:30:00,11.5,0,1,Oct 25 2005 12:00AM,Black-capped Chickadee,X
B753,URN:NatureAlberta:ABATLAS2:98306-GRJA,Perisoreus canadensis,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,10,25,,10120,,98306,07:30:00,11.5,0,2,Oct 25 2005 12:00AM,Gray Jay,X
B754,URN:NatureAlberta:ABATLAS2:98327-GRJA,Perisoreus canadensis,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,11,15,,10120,,98327,07:00:00,10.5833,0,1,Nov 15 2005 12:00AM,Gray Jay,X
B755,URN:NatureAlberta:ABATLAS2:98327-BCCH,Poecile atricapillus,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,11,15,,10120,,98327,07:00:00,10.5833,0,2,Nov 15 2005 12:00AM,Black-capped Chickadee,X
B756,URN:NatureAlberta:ABATLAS2:98327-CAGO,Branta canadensis,Anseriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,11,15,,10120,,98327,07:00:00,10.5833,0,19,Nov 15 2005 12:00AM,Canada Goose,X
B757,URN:NatureAlberta:ABATLAS2:98331-GRJA,Perisoreus canadensis,Passeriformes,PG35 - at Mount Lorette,51.0327,-115.077,2005,11,19,,10120,,98331,07:00:00,10.5,0,3,Nov 19 2005 12:00AM,Gray Jay,X
B758,URN:NatureAlberta:ABATLAS2:98423-COLO,Gavia immer,Gaviiformes,Marie Lake,54.628,-110.3,2005,6,15,,10129,,98423,12:00:00,0,0,1,Jun 15 2005 12:00AM,Common Loon,X
B759,URN:NatureAlberta:ABATLAS2:98515-CAGO,Branta canadensis,Anseriformes,Lac Cardinal,56.1942,-117.789,2005,5,2,Joan Kerr,6640,,98515,12:00:00,0,0,15,May  2 2005 12:00AM,Canada Goose,H
B760,URN:NatureAlberta:ABATLAS2:98540-BCCH,Poecile atricapillus,Passeriformes,LM70 wpt 178,55.0637,-118.981,2005,7,7,Deb Taylor,10130,,98540,07:45:00,2.75,0,5,Jul  7 2005 12:00AM,Black-capped Chickadee,H
B761,URN:NatureAlberta:ABATLAS2:98540-GRJA,Perisoreus canadensis,Passeriformes,LM70 wpt 178,55.0637,-118.981,2005,7,7,Deb Taylor,10130,,98540,07:45:00,2.75,0,4,Jul  7 2005 12:00AM,Gray Jay,X
B762,URN:NatureAlberta:ABATLAS2:98561-BCCH,Poecile atricapillus,Passeriformes,LM70 - wpt 185,55.0809,-118.915,2005,6,10,Deb Taylor,10130,,98561,07:45:00,3.25,0,6,Jun 10 2005 12:00AM,Black-capped Chickadee,T
B763,URN:NatureAlberta:ABATLAS2:98561-CAGO,Branta canadensis,Anseriformes,LM70 - wpt 185,55.0809,-118.915,2005,6,10,Deb Taylor,10130,,98561,07:45:00,3.25,0,16,Jun 10 2005 12:00AM,Canada Goose,X
B764,URN:NatureAlberta:ABATLAS2:98565-BCCH,Poecile atricapillus,Passeriformes,LM92 - wpt 168,55.2579,-118.677,2005,6,19,Deb Taylor,10130,,98565,08:05:00,0.166667,0,1,Jun 19 2005 12:00AM,Black-capped Chickadee,H
B765,URN:NatureAlberta:ABATLAS2:98866-CAGO,Branta canadensis,Anseriformes,UQ61 and surrounding areas,53.3663,-113.092,2005,4,16,George Newton,4020,or more,98866,09:00:00,7,1,100,Apr 16 2005 12:00AM,Canada Goose,X
B766,URN:NatureAlberta:ABATLAS2:98866-BCCH,Poecile atricapillus,Passeriformes,UQ61 and surrounding areas,53.3663,-113.092,2005,4,16,George Newton,4020,,98866,09:00:00,7,1,4,Apr 16 2005 12:00AM,Black-capped Chickadee,X
B767,URN:NatureAlberta:ABATLAS2:98870-BCCH,Poecile atricapillus,Passeriformes,UQ58 - Opal area,53.9929,-113.21,2005,2,10,George Newton,4020,,98870,12:00:00,0,1,12,Feb 10 2005 12:00AM,Black-capped Chickadee,X
B768,URN:NatureAlberta:ABATLAS2:98983-CAGO,Branta canadensis,Anseriformes,Husky Tide Lake,50.4794,-111.346,2005,10,15,Greg Wagner,4379,,98983,08:10:00,0,1,200,Oct 15 2005 12:00AM,Canada Goose,X
B769,URN:NatureAlberta:ABATLAS2:98987-BCCH,Poecile atricapillus,Passeriformes,"High River, TM90",50.5817,-113.869,2005,4,18,Jack Shier,4383,,98987,06:35:00,1.58333,0,4,Apr 18 2005 12:00AM,Black-capped Chickadee,X
B770,URN:NatureAlberta:ABATLAS2:98987-CAGO,Branta canadensis,Anseriformes,"High River, TM90",50.5817,-113.869,2005,4,18,Jack Shier,4383,,98987,06:35:00,1.58333,0,7,Apr 18 2005 12:00AM,Canada Goose,X
B771,URN:NatureAlberta:ABATLAS2:99288-CAGO,Branta canadensis,Anseriformes,TL 85,50.1117,-113.969,2005,5,28,Joan Larson,4457,,99288,13:15:00,-1.25,1,7,May 28 2005 12:00AM,Canada Goose,H
B772,URN:NatureAlberta:ABATLAS2:99288-BCCH,Poecile atricapillus,Passeriformes,TL 85,50.1117,-113.969,2005,5,28,Joan Larson,4457,,99288,13:15:00,-1.25,1,2,May 28 2005 12:00AM,Black-capped Chickadee,H
B773,URN:NatureAlberta:ABATLAS2:99292-CAGO,Branta canadensis,Anseriformes,UL 25,50.1236,-113.459,2005,5,28,Grace Norgard,5126,,99292,12:00:00,0,0,50,May 28 2005 12:00AM,Canada Goose,FL
B774,URN:NatureAlberta:ABATLAS2:99313-BCCH,Poecile atricapillus,Passeriformes,UK 35,49.2282,-113.272,2005,5,28,Shirley Sillito,5614,,99313,12:00:00,0,0,1,May 28 2005 12:00AM,Black-capped Chickadee,H
B775,URN:NatureAlberta:ABATLAS2:99313-CAGO,Branta canadensis,Anseriformes,UK 35,49.2282,-113.272,2005,5,28,Shirley Sillito,5614,,99313,12:00:00,0,0,20,May 28 2005 12:00AM,Canada Goose,FL
