ID,GlobalUniqueIdentifier,ScientificName,Order,Locality,DecimalLatitude,DecimalLongitude,YearCollected,MonthCollected,DayCollected,Collector,CollectorNumber,Remarks,SamplingEventIdentifier,TimeObservationsStarted,DurationInHours,NumberOfObservers,ObservationCount,ObservationDate,CommonName,BreedingBirdAtlasCode
B25,URN:NatureAlberta:ABATLAS2:92136-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,17,Alan Taylor,4371,,92136,10:15:00,1.5,0,400,Mar 17 2005 12:00AM,Canada Goose,T
B26,URN:NatureAlberta:ABATLAS2:92787-CAGO,Branta canadensis,Anseriformes,"Sec. 20, Twn. 93, Mer. 5, Rng. 23",57.1097,-117.666,2005,5,14,Ralph Cowie,5325,,92787,06:00:00,3,0,2,May 14 2005 12:00AM,Canada Goose,X
B27,URN:NatureAlberta:ABATLAS2:92858-CAGO,Branta canadensis,Anseriformes,"DeWinton, QG3",50.8244,-114.028,2005,5,21,Romana Windsteig,9394,,92858,14:00:00,1.5,0,15,May 21 2005 12:00AM,Canada Goose,FL
B28,URN:NatureAlberta:ABATLAS2:92157-CAGO,Branta canadensis,Anseriformes,Hillers Pond,51.7159,-113.83,2005,4,15,Alan Taylor,4371,,92157,13:30:00,0.75,0,6,Apr 15 2005 12:00AM,Canada Goose,P
B29,URN:NatureAlberta:ABATLAS2:93067-CAGO,Branta canadensis,Anseriformes,12U-WR-27 Cold Lake Air Weapons Range,54.8232,-110.621,2005,5,6,Ted Hindmarch,9589,"Pair on small pond, single at Boyd Lake",93067,15:40:00,1.33333,2,3,May  6 2005 12:00AM,Canada Goose,P
B30,URN:NatureAlberta:ABATLAS2:92604-CAGO,Branta canadensis,Anseriformes,UQ62,53.4567,-113.033,2005,5,29,Philip Penner,5640,,92604,06:00:00,3,1,2,May 29 2005 12:00AM,Canada Goose,X
B31,URN:NatureAlberta:ABATLAS2:92604-BCCH,Poecile atricapillus,Passeriformes,UQ62,53.4567,-113.033,2005,5,29,Philip Penner,5640,,92604,06:00:00,3,1,2,May 29 2005 12:00AM,Black-capped Chickadee,X
B32,URN:NatureAlberta:ABATLAS2:92654-CAGO,Branta canadensis,Anseriformes,UP78,53.1007,-112.871,2005,5,4,Jim Lange,4882,Bird is Cackling Goose,92654,12:00:00,1,1,1,May  4 2005 12:00AM,Canada Goose,X
B33,URN:NatureAlberta:ABATLAS2:93092-CAGO,Branta canadensis,Anseriformes,12U-WR-36,54.7317,-110.458,2005,6,12,Ted Hindmarch,9589,Molt flocks hdg north,93092,06:30:00,1.75,2,52,Jun 12 2005 12:00AM,Canada Goose,X
B34,URN:NatureAlberta:ABATLAS2:92746-COLO,Gavia immer,Gaviiformes,VT85,56.4393,-111.243,2005,5,28,Margo Wilson,9435,,92746,09:30:00,6.5,3,3,May 28 2005 12:00AM,Common Loon,P
B35,URN:NatureAlberta:ABATLAS2:92746-CAGO,Branta canadensis,Anseriformes,VT85,56.4393,-111.243,2005,5,28,Margo Wilson,9435,,92746,09:30:00,6.5,3,100,May 28 2005 12:00AM,Canada Goose,X
B36,URN:NatureAlberta:ABATLAS2:92817-CAGO,Branta canadensis,Anseriformes,Misty Ridge Ski Hill,54.3592,-114.541,2005,3,31,Jim Lange,4882,,92817,06:00:00,3,2,2,Mar 31 2005 12:00AM,Canada Goose,X
B37,URN:NatureAlberta:ABATLAS2:93005-COLO,Gavia immer,Gaviiformes,"Nexen Lease (Kinosis), WT03",56.2606,-110.927,2005,5,29,Dawn Hall,6110,,93005,18:00:00,-15,1,4,May 29 2005 12:00AM,Common Loon,H
B38,URN:NatureAlberta:ABATLAS2:93051-BCCH,Poecile atricapillus,Passeriformes,"Atlas Square PK84 (4)  E of RR20 on Tsp 543 Creek at botton of hill, bridge",53.6678,-114.157,2005,7,9,Stan Gosche,2112,,93051,10:15:00,0.5,3,1,Jul  9 2005 12:00AM,Black-capped Chickadee,X
B39,URN:NatureAlberta:ABATLAS2:93076-GRJA,Perisoreus canadensis,Passeriformes,12U-WR-28 Cold Lake Air Weapons Range,54.9144,-110.611,2005,5,14,Ted Hindmarch,9589,,93076,13:00:00,2,8,4,May 14 2005 12:00AM,Gray Jay,P
B40,URN:NatureAlberta:ABATLAS2:93097-BCCH,Poecile atricapillus,Passeriformes,12U-WR-44,54.5501,-110.316,2005,5,28,Ted Hindmarch,9589,,93097,09:30:00,7,3,4,May 28 2005 12:00AM,Black-capped Chickadee,H
B41,URN:NatureAlberta:ABATLAS2:93097-COLO,Gavia immer,Gaviiformes,12U-WR-44,54.5501,-110.316,2005,5,28,Ted Hindmarch,9589,,93097,09:30:00,7,3,3,May 28 2005 12:00AM,Common Loon,ON
B42,URN:NatureAlberta:ABATLAS2:93794-BCCH,Poecile atricapillus,Passeriformes,PH47,52.1095,-114.888,2005,6,13,Joseph Zombori,4381,,93794,13:00:00,7.5,1,2,Jun 13 2005 12:00AM,Black-capped Chickadee,H
B43,URN:NatureAlberta:ABATLAS2:93798-COLO,Gavia immer,Gaviiformes,NH32,51.6875,-116.479,2005,7,11,Beth MacCallum,6079,,93798,11:00:00,3,2,3,Jul 11 2005 12:00AM,Common Loon,H
B44,URN:NatureAlberta:ABATLAS2:93118-COLO,Gavia immer,Gaviiformes,12U-WR-25 Imperial Oil Resources Work area - Bourque Lake West,54.6353,-110.57,2005,6,25,Ted Hindmarch,9589,Bourque Lake,93118,21:50:00,16.4167,1,5,Jun 25 2005 12:00AM,Common Loon,P
B45,URN:NatureAlberta:ABATLAS2:93122-COLO,Gavia immer,Gaviiformes,12U-WR-67 Primrose Lake Evaluation Range,54.7862,-110.058,2005,6,27,Ted Hindmarch,9589,,93122,20:15:00,1,1,1,Jun 27 2005 12:00AM,Common Loon,T
B46,URN:NatureAlberta:ABATLAS2:93143-COLO,Gavia immer,Gaviiformes,12U-WR-37 Cold Lake Air Weapons Range - CNRL Burnt Lake Operations Area,54.7817,-110.387,2005,7,10,Ted Hindmarch,9589,overflight enroute lake in square,93143,06:15:00,3,1,3,Jul 10 2005 12:00AM,Common Loon,H
B47,URN:NatureAlberta:ABATLAS2:93147-CAGO,Branta canadensis,Anseriformes,12U-WR-21,54.2822,-110.608,2005,5,28,Ted Hindmarch,9589,,93147,12:10:00,4.83333,1,34,May 28 2005 12:00AM,Canada Goose,FL
B48,URN:NatureAlberta:ABATLAS2:93799-COLO,Gavia immer,Gaviiformes,NH32,51.6875,-116.479,2005,7,10,Beth MacCallum,6079,,93799,13:40:00,4.33333,0,1,Jul 10 2005 12:00AM,Common Loon,H
B49,URN:NatureAlberta:ABATLAS2:94124-CAGO,Branta canadensis,Anseriformes,UP62,52.5583,-112.991,2005,5,18,Wayne Kinsella,5088,,94124,06:00:00,4,0,1,May 18 2005 12:00AM,Canada Goose,FL
B50,URN:NatureAlberta:ABATLAS2:94129-BCCH,Poecile atricapillus,Passeriformes,UP51,52.4659,-113.135,2005,6,17,Dale Baden,9653,,94129,06:00:00,3,0,1,Jun 17 2005 12:00AM,Black-capped Chickadee,T
B51,URN:NatureAlberta:ABATLAS2:94129-CAGO,Branta canadensis,Anseriformes,UP51,52.4659,-113.135,2005,6,17,Dale Baden,9653,,94129,06:00:00,3,0,1,Jun 17 2005 12:00AM,Canada Goose,T
B52,URN:NatureAlberta:ABATLAS2:11919-SNOW,Bubo scandiacus,Strigiformes,Hwy 631 and Rge Rd 151,53.5417,-112.092,2005,1,25,Del Huget,5327,,11919,06:00:00,3,0,1,Jan 25 2005 12:00AM,Snowy Owl,X
B53,URN:NatureAlberta:ABATLAS2:11802-BCCH,Poecile atricapillus,Passeriformes,Taber,49.7792,-112.146,2005,1,4,Lloyd Bennett,9779,,11802,06:00:00,13,3,5,Jan  4 2005 12:00AM,Black-capped Chickadee,X
B54,URN:NatureAlberta:ABATLAS2:11802-CAGO,Branta canadensis,Anseriformes,Taber,49.7792,-112.146,2005,1,4,Lloyd Bennett,9779,,11802,06:00:00,13,3,680,Jan  4 2005 12:00AM,Canada Goose,X
